"T","IT","LEQA","PRIMARY_VAL","SECONDARY_VAL","TERTIARY_VAL","OTHERS_VAL","TEMP_VAL"
"1724573700","9","5.83","0.2","0.2","0.2","0.6","0"
"1724575500","9","6.4","0.2","0.2","0.2","0.6","0"
"1724578200","9","7.01","0.2","0.2","0.2","0.6","0"
"1724581800","9","6.64","0.2","0.2","0.2","0.6","0"
"1724582700","9","6.67","0.2","0.2","0.2","0.6","0"
"1724585400","9","6.13","0.2","0.2","0.2","0.6","0"
"1724586300","9","5.56","0.2","0.2","0.2","0.6","0"
"1724589900","9","5.89","0.2","0.2","0.2","0.6","0"
"1724590800","9","7.03","0.2","0.2","0.2","0.6","0"
"1724592600","9","5.85","0.2","0.2","0.2","0.6","0"
"1724600700","9","4.59","0.2","0.2","0.2","0.6","0"
"1724643000","9","5.26","0.2","0.2","0.2","0.6","0"
"1724653800","9","5.83","0.2","0.2","0.2","0.6","0"
"1724591700","13","4.51","0.2","0.2","0.2","0.8","0"
"1724652900","13","6.37","0.2","0.2","0.2","0.8","0"
"1724570100","17","5.77","0.2","0.2","0.2","1.0","0"
"1724593500","17","4.6","0.2","0.2","0.2","1.0","0"
"1724648400","17","5.77","0.2","0.2","0.2","1.0","0"
"1724584500","21","5.25","0.2","0.2","0.2","1.15","0"
"1724587200","25","5.69","0.2","0.2","0.2","1.3","0"
"1724588100","29","6.01","0.2","0.2","0.2","1.45","0"
"1724607900","29","4.49","0.2","0.2","0.2","1.45","0"
"1724626800","29","3.8","0.2","0.2","0.2","1.45","0"
"1724634000","29","3.69","0.2","0.2","0.2","1.45","0"
"1724589000","33","6.27","0.2","0.2","0.2","2.0","0"
"1724594400","33","5.57","0.2","0.2","0.2","2.0","0"
"1724616900","33","3.6","0.2","0.2","0.2","2.0","0"
"1724647500","33","5.3","0.2","0.2","0.2","2.0","0"
"1724569200","37","6.16","0.2","0.2","0.4","0.2","0"
"1724628600","53","4.06","0.2","0.2","0.4","1.0","0"
"1724572800","57","5.2","0.2","0.2","0.4","1.15","0"
"1724636700","57","3.3","0.2","0.2","0.4","1.15","0"
"1724596200","65","4.2","0.2","0.2","0.4","1.45","0"
"1724633100","65","3.55","0.2","0.2","0.4","1.45","0"
"1724646600","65","5.13","0.2","0.2","0.4","1.45","0"
"1724622300","69","3.46","0.2","0.2","0.4","2.0","0"
"1724627700","69","3.11","0.2","0.2","0.4","2.0","0"
"1724631300","69","3.71","0.2","0.2","0.4","2.0","0"
"1724632200","69","3.18","0.2","0.2","0.4","2.0","0"
"1724601600","73","4.46","0.2","0.2","0.6","0.2","0"
"1724595300","85","4.36","0.2","0.2","0.6","0.8","0"
"1724599800","97","3.95","0.2","0.2","0.6","1.3","0"
"1724605200","101","3.79","0.2","0.2","0.6","1.45","0"
"1724619600","101","2.99","0.2","0.2","0.6","1.45","0"
"1724620500","101","3.76","0.2","0.2","0.6","1.45","0"
"1724621400","105","3.06","0.2","0.2","0.6","2.0","0"
"1724602500","109","4.31","0.2","0.2","0.8","0.2","0"
"1724603400","113","4.05","0.2","0.2","0.8","0.4","0"
"1724604300","121","3.73","0.2","0.2","0.8","0.8","0"
"1724608800","133","5.01","0.2","0.2","0.8","1.3","0"
"1724616000","133","3.89","0.2","0.2","0.8","1.3","0"
"1724624100","141","4.93","0.2","0.2","0.8","2.0","0"
"1724607000","153","3.82","0.2","0.2","1.0","0.6","0"
"1724598000","169","3.63","0.2","0.2","1.0","1.3","0"
"1724609700","213","4.57","0.2","0.2","1.15","2.0","0"
"1724597100","233","4.96","0.2","0.2","1.3","1.0","0"
"1724630400","233","4.4","0.2","0.2","1.3","1.0","0"
"1724567400","257","5.64","0.2","0.2","1.45","0.4","0"
"1724571000","257","5.18","0.2","0.2","1.45","0.4","0"
"1724580900","261","7.16","0.2","0.2","1.45","0.6","0"
"1724610600","281","4.13","0.2","0.2","1.45","1.45","0"
"1724612400","301","4.21","0.2","0.2","2.0","0.8","0"
"1724639400","333","4.63","0.2","0.4","0.2","0.6","0"
"1724577300","337","5.91","0.2","0.4","0.2","0.8","0"
"1724615100","353","3.72","0.2","0.4","0.2","1.45","0"
"1724623200","357","4.08","0.2","0.4","0.2","2.0","0"
"1724625000","357","4.84","0.2","0.4","0.2","2.0","0"
"1724625900","373","4.51","0.2","0.4","0.4","0.8","0"
"1724629500","389","4.66","0.2","0.4","0.4","1.45","0"
"1724638500","441","4.36","0.2","0.4","0.8","0.6","0"
"1724634900","461","4.05","0.2","0.4","0.8","1.45","0"
"1724640300","477","4.73","0.2","0.4","1.0","0.6","0"
"1724614200","501","4.17","0.2","0.4","1.0","2.0","0"
"1724598900","541","4.34","0.2","0.4","1.3","0.2","0"
"1724642100","625","5.98","0.2","0.4","2.0","0.8","0"
"1724613300","677","4.52","0.2","0.6","0.2","1.45","0"
"1724618700","753","3.33","0.2","0.6","0.6","2.0","0"
"1724579100","1025","6.51","0.2","0.8","0.4","1.0","0"
"1724635800","1461","3.46","0.2","1.0","1.0","1.15","0"
"1724617800","2009","3.69","0.2","1.3","0.4","1.45","0"
"1724576400","2925","6.18","0.4","0.2","0.2","0.6","0"
"1724583600","2977","4.57","0.4","0.2","0.4","1.3","0"
"1724571900","3245","5.86","0.4","0.4","0.2","0.4","0"
"1724651100","5869","6.5","0.6","0.2","0.4","0.2","0"
"1724606100","5877","4.06","0.6","0.2","0.4","0.6","0"
"1724650200","8857","6.11","0.8","0.2","0.8","0.2","0"
"1724645700","9049","7.45","0.8","0.2","2.0","0.8","0"
"1724580000","11681","6.32","1.0","0.2","0.2","1.0","0"
"1724643900","11685","5.69","1.0","0.2","0.2","1.15","0"
"1724652000","11697","6.64","1.0","0.2","0.2","2.0","0"
"1724611500","11805","4.15","1.0","0.2","0.8","2.0","0"
"1724641200","12049","4.99","1.0","0.4","0.4","1.3","0"
"1724637600","12161","3.94","1.0","0.4","1.0","1.45","0"
"1724649300","14613","4.78","1.15","0.2","0.2","2.0","0"
"1724574600","17505","5.94","1.3","0.2","0.2","0.6","0"
"1724644800","17529","6.15","1.3","0.2","0.2","2.0","0"
"1724568300","17641","5.49","1.3","0.2","1.0","0.2","0"
