deveui,epoch,Leq,Lmin,Lmax,L10,L50,L90,L95,nMeas,Temp,Vbat,dur,timestamp
70b3d5078000078f,1721888099000,66.8,46.9,78.3,74.0,55.5,49.5,49.0,901,21.875,3.59,15,2024-07-25T06:14:59.000Z
70b3d5078000078f,1721887198000,59.2,46.8,77.4,61.5,54.5,50.0,49.0,900,21.875,3.59,15,2024-07-25T05:59:58.000Z
70b3d5078000078f,1721886299000,72.3,47.3,97.3,65.0,57.5,51.5,50.0,900,21.875,3.59,15,2024-07-25T05:44:59.000Z
70b3d5078000078f,1721884498000,63.1,45.5,86.5,61.5,55.5,49.5,48.5,900,21.875,3.59,15,2024-07-25T05:14:58.000Z
70b3d5078000078f,1721883599000,58.1,46.6,71.7,61.5,54.5,49.5,48.5,900,21.875,3.59,15,2024-07-25T04:59:59.000Z
70b3d5078000078f,1721882699000,58.1,46.5,72.4,61.5,54.5,49.5,48.5,901,21.875,3.59,15,2024-07-25T04:44:59.000Z
70b3d5078000078f,1721881798000,61.6,45.6,76.4,64.0,57.0,49.5,47.5,900,21.25,3.59,15,2024-07-25T04:29:58.000Z
70b3d5078000078f,1721880899000,57.1,44.0,70.1,60.5,53.5,49.0,47.5,901,21.25,3.59,15,2024-07-25T04:14:59.000Z
70b3d5078000078f,1721879998000,59.5,45.6,75.4,62.0,54.0,49.5,48.5,900,21.25,3.59,15,2024-07-25T03:59:58.000Z
70b3d5078000078f,1721879099000,55.6,46.4,68.9,59.0,52.5,49.0,48.5,900,21.25,3.59,15,2024-07-25T03:44:59.000Z
70b3d5078000078f,1721878199000,55.1,43.2,69.4,59.0,51.5,45.5,45.0,901,21.875,3.59,15,2024-07-25T03:29:59.000Z
70b3d5078000078f,1721877298000,55.1,42.7,72.1,58.5,49.0,45.0,44.0,900,21.875,3.59,15,2024-07-25T03:14:58.000Z
70b3d5078000078f,1721876399000,64.1,42.4,84.4,64.0,52.0,46.0,44.5,901,21.875,3.59,15,2024-07-25T02:59:59.000Z
70b3d5078000078f,1721875498000,60.2,45.9,73.6,63.0,54.5,48.5,47.5,900,21.875,3.59,15,2024-07-25T02:44:58.000Z
70b3d5078000078f,1721874599000,58.8,43.9,75.5,63.0,51.5,46.0,45.0,900,21.875,3.59,15,2024-07-25T02:29:59.000Z
70b3d5078000078f,1721873699000,52.5,41.9,63.8,57.0,46.5,43.0,42.5,901,22.5,3.59,15,2024-07-25T02:14:59.000Z
70b3d5078000078f,1721872798000,52.0,42.2,68.0,54.5,46.5,43.5,43.0,900,22.5,3.59,15,2024-07-25T01:59:58.000Z
70b3d5078000078f,1721871899000,53.3,42.4,77.3,51.5,45.5,43.5,43.0,901,22.5,3.59,15,2024-07-25T01:44:59.000Z
70b3d5078000078f,1721870998000,51.3,42.1,68.8,53.5,44.5,42.5,42.5,900,22.5,3.59,15,2024-07-25T01:29:58.000Z
70b3d5078000078f,1721870099000,51.8,42.0,68.0,55.0,45.5,43.0,43.0,901,22.5,3.59,15,2024-07-25T01:14:59.000Z
70b3d5078000078f,1721869198000,51.3,42.1,69.5,54.0,46.5,43.5,43.5,900,22.5,3.59,15,2024-07-25T00:59:58.000Z
70b3d5078000078f,1721868299000,56.8,42.2,77.1,56.5,47.0,44.0,43.5,901,22.5,3.59,15,2024-07-25T00:44:59.000Z
70b3d5078000078f,1721867398000,51.9,42.1,66.5,56.0,46.5,43.0,43.0,900,22.5,3.59,15,2024-07-25T00:29:58.000Z
70b3d5078000078f,1721866499000,52.8,42.7,69.9,55.5,48.0,44.5,44.0,900,22.5,3.59,15,2024-07-25T00:14:59.000Z
70b3d5078000078f,1721865599000,53.6,42.7,68.0,57.0,50.5,45.0,44.5,901,23.125,3.59,15,2024-07-24T23:59:59.000Z
70b3d5078000078f,1721864698000,53.7,42.5,69.5,57.0,50.0,44.0,43.5,900,23.125,3.59,15,2024-07-24T23:44:58.000Z
70b3d5078000078f,1721863799000,55.6,43.6,74.0,57.5,50.0,45.5,45.0,901,23.125,3.59,15,2024-07-24T23:29:59.000Z
70b3d5078000078f,1721861999000,55.4,43.7,72.4,57.5,49.0,45.5,45.0,901,23.125,3.59,15,2024-07-24T22:59:59.000Z
70b3d5078000078f,1721861098000,54.4,43.2,71.4,57.5,49.5,45.5,45.0,901,23.75,3.59,15,2024-07-24T22:44:58.000Z
