deveui,epoch,Leq,Lmin,Lmax,L10,L50,L90,L95,nMeas,Temp,Vbat,dur,timestamp
70b3d507800007d8,1721035798000,45.3,44.6,47.6,46.0,45.5,45.0,45.0,903,31.875,3.51,15,2024-07-15T09:29:58.000Z
70b3d507800007d8,1721034897000,45.8,44.9,50.1,46.5,45.5,45.5,45.0,902,28.75,3.51,15,2024-07-15T09:14:57.000Z
70b3d507800007d8,1721033098000,45.0,44.1,51.3,45.5,45.0,44.5,44.5,903,25.0,3.51,15,2024-07-15T08:44:58.000Z
70b3d507800007d8,1721032197000,44.5,43.9,47.6,45.0,44.5,44.0,44.0,902,25.0,3.52,15,2024-07-15T08:29:57.000Z
70b3d507800007d8,1721031298000,44.7,44.0,45.8,45.0,44.5,44.5,44.5,902,23.75,3.52,15,2024-07-15T08:14:58.000Z
70b3d507800007d8,1721028597000,46.3,45.7,50.3,46.5,46.5,46.0,46.0,902,22.5,3.52,15,2024-07-15T07:29:57.000Z
70b3d507800007d8,1721027698000,46.6,45.9,48.0,47.0,46.5,46.5,46.0,902,21.875,3.51,15,2024-07-15T07:14:58.000Z
70b3d507800007d8,1721026798000,47.3,46.1,48.8,48.0,47.5,46.5,46.5,902,21.25,3.51,15,2024-07-15T06:59:58.000Z
70b3d507800007d8,1721025898000,47.7,46.9,50.0,48.0,47.5,47.5,47.5,902,20.625,3.51,15,2024-07-15T06:44:58.000Z
70b3d507800007d8,1721024998000,47.6,46.5,52.4,48.5,47.0,47.0,47.0,903,20.625,3.51,15,2024-07-15T06:29:58.000Z
70b3d507800007d8,1721024097000,46.9,46.3,47.9,47.0,47.0,46.5,46.5,902,20.625,3.51,15,2024-07-15T06:14:57.000Z
70b3d507800007d8,1721023198000,47.0,46.5,51.8,47.5,47.0,46.5,46.5,902,20.625,3.51,15,2024-07-15T05:59:58.000Z
70b3d507800007d8,1721022298000,47.2,46.5,49.1,47.5,47.0,47.0,46.5,902,20.625,3.51,15,2024-07-15T05:44:58.000Z
70b3d507800007d8,1721021398000,47.2,46.3,52.8,47.5,47.0,46.5,46.5,902,20.0,3.51,15,2024-07-15T05:29:58.000Z
70b3d507800007d8,1721020498000,47.3,46.7,48.1,47.5,47.5,47.0,47.0,902,20.0,3.51,15,2024-07-15T05:14:58.000Z
70b3d507800007d8,1721019598000,48.0,47.2,49.7,48.5,48.0,47.5,47.5,902,20.0,3.51,15,2024-07-15T04:59:58.000Z
70b3d507800007d8,1721018698000,48.3,47.5,49.3,48.5,48.5,48.0,48.0,903,20.0,3.51,15,2024-07-15T04:44:58.000Z
70b3d507800007d8,1721017797000,48.3,47.5,48.9,48.5,48.5,48.0,48.0,902,20.0,3.51,15,2024-07-15T04:29:57.000Z
70b3d507800007d8,1721016898000,48.3,47.7,48.9,48.5,48.5,48.0,48.0,902,20.0,3.51,15,2024-07-15T04:14:58.000Z
70b3d507800007d8,1721015998000,48.4,47.7,49.0,48.5,48.5,48.0,48.0,902,20.0,3.51,15,2024-07-15T03:59:58.000Z
70b3d507800007d8,1721015098000,48.4,47.5,49.4,49.0,48.5,48.0,48.0,902,20.0,3.51,15,2024-07-15T03:44:58.000Z
70b3d507800007d8,1721014198000,48.5,47.7,49.2,48.5,48.5,48.0,48.0,902,19.375,3.51,15,2024-07-15T03:29:58.000Z
70b3d507800007d8,1721013298000,48.7,47.9,50.1,49.0,48.5,48.5,48.0,902,20.0,3.51,15,2024-07-15T03:14:58.000Z
70b3d507800007d8,1721012398000,49.1,48.5,50.3,49.5,49.0,49.0,48.5,902,20.0,3.5,15,2024-07-15T02:59:58.000Z
70b3d507800007d8,1721011498000,49.4,48.7,50.5,49.5,49.5,49.0,49.0,903,20.0,3.51,15,2024-07-15T02:44:58.000Z
70b3d507800007d8,1721010597000,49.5,48.6,50.7,50.0,49.5,49.0,49.0,902,20.0,3.51,15,2024-07-15T02:29:57.000Z
70b3d507800007d8,1721009698000,50.1,49.4,51.4,50.5,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T02:14:58.000Z
70b3d507800007d8,1721008798000,49.8,49.0,50.5,50.0,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T01:59:58.000Z
70b3d507800007d8,1721007898000,50.1,48.9,51.0,50.5,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T01:44:58.000Z
70b3d507800007d8,1721006998000,49.8,49.0,50.7,50.0,50.0,49.5,49.5,903,20.0,3.51,15,2024-07-15T01:29:58.000Z
70b3d507800007d8,1721006097000,49.9,49.1,50.6,50.0,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T01:14:57.000Z
70b3d507800007d8,1721005198000,50.0,49.1,51.2,50.5,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T00:59:58.000Z
70b3d507800007d8,1721004298000,50.0,49.1,51.1,50.5,50.0,49.5,49.5,902,20.0,3.51,15,2024-07-15T00:44:58.000Z
70b3d507800007d8,1721003398000,50.4,49.4,51.3,51.0,50.5,50.0,50.0,902,20.0,3.51,15,2024-07-15T00:29:58.000Z
70b3d507800007d8,1721002498000,50.4,49.5,52.6,51.0,50.5,50.0,50.0,902,20.0,3.51,15,2024-07-15T00:14:58.000Z
70b3d507800007d8,1721001598000,50.3,49.1,51.9,51.0,50.5,50.0,49.5,902,20.0,3.51,15,2024-07-14T23:59:58.000Z
70b3d507800007d8,1721000698000,49.9,49.0,51.1,50.5,50.0,49.5,49.5,903,20.0,3.51,15,2024-07-14T23:44:58.000Z
70b3d507800007d8,1720999797000,49.6,48.7,50.7,50.0,49.5,49.5,49.0,902,20.0,3.51,15,2024-07-14T23:29:57.000Z
70b3d507800007d8,1720998898000,49.6,48.7,51.1,50.0,49.5,49.0,49.0,902,20.625,3.51,15,2024-07-14T23:14:58.000Z
70b3d507800007d8,1720997998000,49.1,48.4,50.2,49.5,49.0,48.5,48.5,902,20.625,3.51,15,2024-07-14T22:59:58.000Z
70b3d507800007d8,1720997098000,49.2,48.4,50.4,49.5,49.0,49.0,49.0,902,20.625,3.51,15,2024-07-14T22:44:58.000Z
70b3d507800007d8,1720996198000,49.3,48.6,50.1,49.5,49.0,49.0,49.0,902,20.625,3.51,15,2024-07-14T22:29:58.000Z
70b3d507800007d8,1720995298000,49.9,48.9,51.3,50.5,50.0,49.5,49.5,903,20.625,3.51,15,2024-07-14T22:14:58.000Z
70b3d507800007d8,1720994397000,49.5,48.7,51.3,50.0,49.5,49.0,49.0,902,20.625,3.51,15,2024-07-14T21:59:57.000Z
70b3d507800007d8,1720993498000,49.1,48.3,49.8,49.5,49.0,49.0,48.5,902,20.625,3.51,15,2024-07-14T21:44:58.000Z
70b3d507800007d8,1720992598000,49.4,48.6,50.4,49.5,49.5,49.0,49.0,902,21.25,3.51,15,2024-07-14T21:29:58.000Z
70b3d507800007d8,1720991698000,49.2,48.1,50.3,49.5,49.0,48.5,48.5,902,21.25,3.51,15,2024-07-14T21:14:58.000Z
70b3d507800007d8,1720990798000,48.6,47.9,49.6,49.0,48.5,48.5,48.0,902,21.875,3.51,15,2024-07-14T20:59:58.000Z
70b3d507800007d8,1720989898000,48.4,47.4,56.7,49.0,48.0,48.0,47.5,903,21.875,3.51,15,2024-07-14T20:44:58.000Z
70b3d507800007d8,1720988997000,48.2,47.4,49.9,48.5,48.0,48.0,48.0,902,22.5,3.49,15,2024-07-14T20:29:57.000Z
70b3d507800007d8,1720988098000,48.6,47.7,49.9,49.0,48.5,48.0,48.0,903,22.5,3.5,15,2024-07-14T20:14:58.000Z
70b3d507800007d8,1720987197000,48.8,47.9,50.0,49.5,49.0,48.5,48.0,902,23.125,3.5,15,2024-07-14T19:59:57.000Z
70b3d507800007d8,1720986298000,49.4,48.3,50.4,50.0,49.5,49.0,48.5,902,23.125,3.5,15,2024-07-14T19:44:58.000Z
70b3d507800007d8,1720985398000,56.4,49.1,63.2,60.5,52.5,50.0,49.5,903,23.125,3.5,15,2024-07-14T19:29:58.000Z
70b3d507800007d8,1720984497000,53.5,51.1,57.5,55.5,52.5,51.5,51.5,902,23.75,3.5,15,2024-07-14T19:14:57.000Z
70b3d507800007d8,1720981797000,56.8,53.0,61.3,58.5,56.5,54.5,54.5,902,24.375,3.51,15,2024-07-14T18:29:57.000Z
70b3d507800007d8,1720979998000,52.5,50.9,55.2,53.0,52.5,51.5,51.5,903,24.375,3.51,15,2024-07-14T17:59:58.000Z
70b3d507800007d8,1720979097000,51.3,50.0,53.4,52.5,51.0,50.5,50.5,902,25.0,3.51,15,2024-07-14T17:44:57.000Z
70b3d507800007d8,1720978198000,51.0,49.9,52.4,51.5,51.0,50.5,50.5,903,25.0,3.51,15,2024-07-14T17:29:58.000Z
70b3d507800007d8,1720977297000,50.9,49.3,53.1,52.0,50.5,50.0,49.5,902,25.0,3.51,15,2024-07-14T17:14:57.000Z
70b3d507800007d8,1720976398000,49.4,48.5,50.6,50.0,49.5,49.0,49.0,903,25.0,3.51,15,2024-07-14T16:59:58.000Z
70b3d507800007d8,1720974598000,50.2,49.2,51.6,50.5,50.0,50.0,49.5,903,25.625,3.52,15,2024-07-14T16:29:58.000Z
70b3d507800007d8,1720973697000,49.7,48.9,51.5,50.0,49.5,49.5,49.0,902,25.625,3.51,15,2024-07-14T16:14:57.000Z
70b3d507800007d8,1720972798000,49.5,48.6,51.3,50.0,49.5,49.0,49.0,903,26.875,3.54,15,2024-07-14T15:59:58.000Z
70b3d507800007d8,1720971897000,48.9,48.0,50.2,49.5,49.0,48.5,48.5,903,26.875,3.49,15,2024-07-14T15:44:57.000Z
70b3d507800007d8,1720970997000,48.8,48.1,50.0,49.0,49.0,48.5,48.5,902,27.5,3.52,15,2024-07-14T15:29:57.000Z
70b3d507800007d8,1720970098000,48.9,48.0,50.3,49.5,49.0,48.5,48.5,903,26.875,3.53,15,2024-07-14T15:14:58.000Z
70b3d507800007d8,1720969197000,48.6,47.6,49.9,49.0,48.5,48.0,48.0,902,26.875,3.53,15,2024-07-14T14:59:57.000Z
70b3d507800007d8,1720968298000,48.6,47.9,49.4,49.0,48.5,48.5,48.0,903,26.875,3.54,15,2024-07-14T14:44:58.000Z
70b3d507800007d8,1720967397000,48.4,47.6,49.2,48.5,48.5,48.0,48.0,903,27.5,3.51,15,2024-07-14T14:29:57.000Z
70b3d507800007d8,1720966497000,48.6,47.7,50.0,49.0,48.5,48.0,48.0,902,26.875,3.52,15,2024-07-14T14:14:57.000Z
70b3d507800007d8,1720965598000,48.5,47.5,49.9,49.0,48.5,48.0,48.0,903,27.5,3.56,15,2024-07-14T13:59:58.000Z
70b3d507800007d8,1720964697000,48.8,48.0,49.8,49.0,49.0,48.5,48.5,902,27.5,3.56,15,2024-07-14T13:44:57.000Z
70b3d507800007d8,1720963798000,48.6,47.5,49.8,49.0,48.5,48.0,48.0,903,27.5,3.56,15,2024-07-14T13:29:58.000Z
70b3d507800007d8,1720962897000,47.9,47.2,48.8,48.5,48.0,47.5,47.5,902,27.5,3.56,15,2024-07-14T13:14:57.000Z
70b3d507800007d8,1720961998000,48.0,47.1,49.0,48.5,48.0,47.5,47.5,903,26.875,3.56,15,2024-07-14T12:59:58.000Z
