deveui,epoch,Leq,Lmin,Lmax,L10,L50,L90,L95,nMeas,Temp,Vbat,dur,timestamp
70b3d507800007e0,1721889000000,69.4,57.4,84.2,73.0,66.0,62.0,61.0,901,23.125,3.56,15,2024-07-25T06:30:00.000Z
70b3d507800007e0,1721888100000,68.2,56.7,82.0,72.0,65.0,60.0,59.0,901,23.125,3.56,15,2024-07-25T06:15:00.000Z
70b3d507800007e0,1721887200000,71.6,57.0,92.7,72.5,66.0,61.0,60.0,900,23.125,3.56,15,2024-07-25T06:00:00.000Z
70b3d507800007e0,1721886301000,69.0,55.6,82.8,72.5,65.5,60.0,59.0,901,23.125,3.56,15,2024-07-25T05:45:01.000Z
70b3d507800007e0,1721885400000,70.0,56.1,81.6,73.5,67.0,61.0,60.0,901,22.5,3.56,15,2024-07-25T05:30:00.000Z
70b3d507800007e0,1721884500000,69.6,57.0,87.3,73.0,66.0,60.0,59.5,901,22.5,3.56,15,2024-07-25T05:15:00.000Z
70b3d507800007e0,1721883600000,68.6,58.3,82.2,72.0,66.0,61.5,60.5,901,22.5,3.56,15,2024-07-25T05:00:00.000Z
70b3d507800007e0,1721882700000,69.6,56.9,86.5,73.5,66.0,60.0,59.5,901,22.5,3.56,15,2024-07-25T04:45:00.000Z
70b3d507800007e0,1721881800000,69.4,56.5,82.4,73.0,66.0,60.5,59.0,900,22.5,3.56,15,2024-07-25T04:30:00.000Z
70b3d507800007e0,1721880000000,66.6,50.4,80.7,69.5,64.0,58.0,56.0,901,22.5,3.56,15,2024-07-25T04:00:00.000Z
70b3d507800007e0,1721879100000,66.1,53.4,79.0,69.0,63.5,57.5,56.0,901,22.5,3.56,15,2024-07-25T03:45:00.000Z
70b3d507800007e0,1721878200000,66.7,51.6,82.7,70.0,63.5,56.0,55.0,901,22.5,3.56,15,2024-07-25T03:30:00.000Z
70b3d507800007e0,1721877300000,65.8,49.4,81.1,69.5,62.0,54.0,52.5,901,22.5,3.56,15,2024-07-25T03:15:00.000Z
70b3d507800007e0,1721876400000,64.6,49.0,76.0,68.0,61.0,54.0,53.0,900,22.5,3.56,15,2024-07-25T03:00:00.000Z
70b3d507800007e0,1721875501000,60.6,44.2,75.1,64.5,57.5,50.5,49.5,901,22.5,3.56,15,2024-07-25T02:45:01.000Z
70b3d507800007e0,1721874600000,62.2,44.6,76.7,66.5,57.5,49.5,48.0,901,23.125,3.56,15,2024-07-25T02:30:00.000Z
70b3d507800007e0,1721873700000,61.0,44.6,73.9,65.0,55.5,48.5,47.5,901,23.125,3.56,15,2024-07-25T02:15:00.000Z
70b3d507800007e0,1721872800000,58.8,43.9,70.0,63.0,55.0,48.5,47.5,901,23.125,3.56,15,2024-07-25T02:00:00.000Z
70b3d507800007e0,1721871900000,56.4,42.4,70.9,61.0,50.0,45.0,44.0,901,23.125,3.56,15,2024-07-25T01:45:00.000Z
70b3d507800007e0,1721871000000,56.4,43.7,68.7,60.5,51.5,46.0,45.0,901,23.125,3.56,15,2024-07-25T01:30:00.000Z
70b3d507800007e0,1721870100000,58.2,43.2,70.3,62.5,53.0,47.0,46.0,901,23.125,3.56,15,2024-07-25T01:15:00.000Z
70b3d507800007e0,1721869200000,57.3,44.4,71.0,61.5,52.5,47.5,46.5,901,23.125,3.56,15,2024-07-25T01:00:00.000Z
70b3d507800007e0,1721868300000,65.7,43.7,87.2,63.5,53.0,47.5,47.0,901,23.125,3.57,15,2024-07-25T00:45:00.000Z
70b3d507800007e0,1721867400000,59.6,42.8,82.5,62.0,54.0,46.0,45.0,901,23.75,3.56,15,2024-07-25T00:30:00.000Z
70b3d507800007e0,1721866500000,59.5,43.0,77.8,62.5,54.5,48.0,45.5,900,23.75,3.57,15,2024-07-25T00:15:00.000Z
70b3d507800007e0,1721865601000,58.5,44.9,73.4,62.0,54.0,47.5,47.0,901,23.75,3.56,15,2024-07-25T00:00:01.000Z
70b3d507800007e0,1721863800000,60.3,44.6,74.7,64.0,56.0,49.5,48.0,901,23.75,3.56,15,2024-07-24T23:30:00.000Z
70b3d507800007e0,1721862900000,61.0,46.3,75.2,65.0,57.0,50.5,49.5,901,23.75,3.57,15,2024-07-24T23:15:00.000Z
70b3d507800007e0,1721862000000,63.0,47.0,81.7,66.0,58.5,51.0,49.5,901,24.375,3.57,15,2024-07-24T23:00:00.000Z
70b3d507800007e0,1721861100000,64.3,45.7,83.2,67.5,60.0,52.5,51.0,901,24.375,3.57,15,2024-07-24T22:45:00.000Z
70b3d507800007e0,1721860200000,65.0,48.9,84.7,67.0,61.0,54.5,52.5,900,24.375,3.57,15,2024-07-24T22:30:00.000Z
70b3d507800007e0,1721859301000,65.0,49.0,82.6,67.5,62.5,55.5,53.5,901,24.375,3.57,15,2024-07-24T22:15:01.000Z
70b3d507800007e0,1721858400000,64.7,48.2,80.1,67.5,61.5,55.0,53.5,901,25.0,3.57,15,2024-07-24T22:00:00.000Z
70b3d507800007e0,1721857500000,64.1,49.5,80.1,66.5,60.0,54.0,52.5,901,25.0,3.57,15,2024-07-24T21:45:00.000Z
70b3d507800007e0,1721856600000,71.7,52.2,96.5,70.0,63.0,58.0,56.5,901,25.0,3.57,15,2024-07-24T21:30:00.000Z
70b3d507800007e0,1721855700000,66.1,53.3,83.1,68.5,62.5,57.0,55.5,901,25.0,3.57,15,2024-07-24T21:15:00.000Z
70b3d507800007e0,1721854800000,65.9,52.5,82.7,68.5,63.0,57.5,56.0,902,25.0,3.57,15,2024-07-24T21:00:00.000Z
70b3d507800007e0,1721853899000,70.7,55.6,93.0,71.0,64.5,58.5,57.5,901,25.0,3.57,15,2024-07-24T20:44:59.000Z
70b3d507800007e0,1721853000000,67.2,55.7,84.5,69.0,63.5,59.0,58.0,901,25.625,3.57,15,2024-07-24T20:30:00.000Z
70b3d507800007e0,1721852100000,67.1,53.3,85.2,69.5,63.0,58.0,57.0,901,25.625,3.57,15,2024-07-24T20:15:00.000Z
70b3d507800007e0,1721851200000,67.8,55.8,92.2,68.5,63.0,59.5,58.5,901,25.625,3.57,15,2024-07-24T20:00:00.000Z
70b3d507800007e0,1721850300000,67.3,55.9,81.2,70.5,63.0,59.0,58.5,901,26.25,3.57,15,2024-07-24T19:45:00.000Z
70b3d507800007e0,1721849400000,68.4,53.8,87.3,70.0,64.0,58.5,57.5,901,26.25,3.57,15,2024-07-24T19:30:00.000Z
70b3d507800007e0,1721848500000,67.4,53.5,84.0,70.0,63.5,58.5,57.0,901,26.875,3.57,15,2024-07-24T19:15:00.000Z
70b3d507800007e0,1721847600000,67.1,54.6,83.4,69.5,64.0,58.5,57.0,901,26.875,3.57,15,2024-07-24T19:00:00.000Z
70b3d507800007e0,1721846700000,67.0,53.5,85.4,69.5,63.0,58.0,57.0,901,27.5,3.57,15,2024-07-24T18:45:00.000Z
70b3d507800007e0,1721845800000,66.9,54.1,83.0,69.5,63.5,59.0,57.5,901,27.5,3.57,15,2024-07-24T18:30:00.000Z
70b3d507800007e0,1721844900000,67.2,56.0,85.8,70.0,63.5,58.5,58.0,901,28.125,3.57,15,2024-07-24T18:15:00.000Z
70b3d507800007e0,1721844000000,66.7,56.9,81.3,69.5,64.0,59.5,58.5,902,28.125,3.57,15,2024-07-24T18:00:00.000Z
70b3d507800007e0,1721843099000,68.1,56.1,80.9,71.0,65.0,60.0,58.5,901,28.125,3.58,15,2024-07-24T17:44:59.000Z
70b3d507800007e0,1721842200000,67.7,56.4,78.1,71.5,65.5,60.5,60.0,902,28.75,3.58,15,2024-07-24T17:30:00.000Z
70b3d507800007e0,1721841299000,68.2,56.6,77.8,71.5,65.5,60.5,60.0,901,29.375,3.58,15,2024-07-24T17:14:59.000Z
70b3d507800007e0,1721840400000,69.3,57.7,85.3,72.0,66.0,61.0,60.0,901,30.0,3.58,15,2024-07-24T17:00:00.000Z
70b3d507800007e0,1721839500000,68.6,57.0,85.0,71.5,66.0,61.5,60.5,902,30.0,3.58,15,2024-07-24T16:45:00.000Z
70b3d507800007e0,1721838599000,69.6,57.4,84.4,72.5,66.0,60.0,59.5,901,30.0,3.58,15,2024-07-24T16:29:59.000Z
70b3d507800007e0,1721837700000,69.3,58.3,79.6,73.0,67.0,62.0,60.5,901,30.0,3.58,15,2024-07-24T16:15:00.000Z
70b3d507800007e0,1721836800000,69.5,58.5,88.1,72.5,67.0,62.5,61.5,902,30.0,3.58,15,2024-07-24T16:00:00.000Z
70b3d507800007e0,1721835899000,70.1,59.9,84.9,73.0,68.0,63.0,61.5,901,30.625,3.58,15,2024-07-24T15:44:59.000Z
70b3d507800007e0,1721835000000,72.2,58.9,94.5,73.5,67.0,62.0,61.0,902,30.625,3.58,15,2024-07-24T15:30:00.000Z
70b3d507800007e0,1721834099000,70.9,59.7,88.1,74.0,67.5,63.0,61.5,901,30.625,3.58,15,2024-07-24T15:14:59.000Z
