deveui,epoch,Leq,Lmin,Lmax,L10,L50,L90,L95,nMeas,Temp,Vbat,dur,timestamp
70b3d507800008bd,1721889001000,50.1,42.5,62.8,53.0,48.0,44.5,43.5,900,21.25,3.5,15,2024-07-25T06:30:01.000Z
70b3d507800008bd,1721888101000,50.8,44.4,68.0,53.0,48.5,45.5,45.5,899,21.25,3.5,15,2024-07-25T06:15:01.000Z
70b3d507800008bd,1721887202000,50.2,43.3,65.6,52.5,48.5,46.5,46.0,900,21.25,3.5,15,2024-07-25T06:00:02.000Z
70b3d507800008bd,1721886301000,51.3,46.0,65.5,53.0,50.0,48.0,47.5,899,21.25,3.5,15,2024-07-25T05:45:01.000Z
70b3d507800008bd,1721885402000,55.9,42.8,66.0,61.0,51.0,47.5,46.5,900,20.625,3.5,15,2024-07-25T05:30:02.000Z
70b3d507800008bd,1721884501000,59.9,41.8,71.7,64.5,51.5,46.0,44.5,900,20.625,3.5,15,2024-07-25T05:15:01.000Z
70b3d507800008bd,1721883601000,58.6,42.4,71.8,61.5,52.0,45.0,44.5,899,20.625,3.5,15,2024-07-25T05:00:01.000Z
70b3d507800008bd,1721882702000,63.0,46.4,72.4,69.0,58.5,48.5,47.5,900,20.0,3.5,15,2024-07-25T04:45:02.000Z
70b3d507800008bd,1721880902000,64.3,41.5,86.5,67.5,49.0,43.0,42.0,900,20.0,3.5,15,2024-07-25T04:15:02.000Z
70b3d507800008bd,1721880001000,65.3,44.2,70.4,68.5,64.5,51.5,47.5,899,20.625,3.5,15,2024-07-25T04:00:01.000Z
70b3d507800008bd,1721879102000,48.1,41.1,65.5,51.0,43.5,41.5,41.5,900,20.625,3.5,15,2024-07-25T03:45:02.000Z
70b3d507800008bd,1721878201000,48.2,40.9,64.5,51.0,42.5,41.5,41.0,900,20.625,3.5,15,2024-07-25T03:30:01.000Z
70b3d507800008bd,1721877301000,48.5,41.0,65.8,51.5,44.0,41.5,41.0,899,21.25,3.5,15,2024-07-25T03:15:01.000Z
70b3d507800008bd,1721876402000,44.8,40.9,59.0,46.5,41.5,41.0,41.0,900,21.25,3.5,15,2024-07-25T03:00:02.000Z
70b3d507800008bd,1721875501000,43.0,40.8,53.7,44.0,41.0,41.0,41.0,899,21.25,3.51,15,2024-07-25T02:45:01.000Z
70b3d507800008bd,1721874602000,43.9,40.8,63.7,44.5,41.0,41.0,41.0,900,21.25,3.51,15,2024-07-25T02:30:02.000Z
